Date,Cropland %,Forest %,Urban %
2008-01-01,6.3025,7.4472,71.2831
2008-02-01,6.2934,7.3843,71.2493
2008-03-01,6.2843,7.3213,71.2155
2008-04-01,6.2752,7.2584,71.1818
2008-05-01,6.2661,7.1954,71.148
2008-06-01,6.257,7.1325,71.1142
2008-07-01,6.2479,7.0696,71.0804
2008-08-01,6.2389,7.0066,71.0466
2008-09-01,6.2298,6.9437,71.0128
2008-10-01,6.2207,6.8807,70.979
2008-11-01,6.2116,6.8178,70.9453
2008-12-01,6.2025,6.7548,70.9115
2009-01-01,6.1934,6.6919,70.8777
2009-02-01,6.2798,6.6696,70.9141
2009-03-01,6.3661,6.6473,70.9505
2009-04-01,6.4525,6.625,70.9869
2009-05-01,6.5388,6.6028,71.0233
2009-06-01,6.6252,6.5805,71.0597
2009-07-01,6.7116,6.5582,71.096
2009-08-01,6.7979,6.5359,71.1324
2009-09-01,6.8843,6.5136,71.1688
2009-10-01,6.9706,6.4914,71.2052
2009-11-01,7.057,6.4691,71.2416
2009-12-01,7.1433,6.4468,71.278
2010-01-01,7.2297,6.4245,71.3144
2010-02-01,7.3022,6.4469,71.295
2010-03-01,7.3747,6.4693,71.2756
2010-04-01,7.4472,6.4917,71.2563
2010-05-01,7.5196,6.5141,71.2369
2010-06-01,7.5921,6.5365,71.2175
2010-07-01,7.6646,6.559,71.1981
2010-08-01,7.7371,6.5814,71.1787
2010-09-01,7.8096,6.6038,71.1593
2010-10-01,7.882,6.6262,71.14
2010-11-01,7.9545,6.6486,71.1206
2010-12-01,8.027,6.671,71.1012
2011-01-01,8.0995,6.6934,71.0818
2011-02-01,7.9798,6.6536,71.2323
2011-03-01,7.8602,6.6138,71.3829
2011-04-01,7.7405,6.574,71.5334
2011-05-01,7.6209,6.5341,71.6839
2011-06-01,7.5012,6.4943,71.8345
2011-07-01,7.3816,6.4545,71.985
2011-08-01,7.2619,6.4147,72.1355
2011-09-01,7.1422,6.3749,72.2861
2011-10-01,7.0226,6.335,72.4366
2011-11-01,6.9029,6.2952,72.5871
2011-12-01,6.7833,6.2554,72.7377
2012-01-01,6.6636,6.2156,72.8882
2012-02-01,6.7099,6.2833,73.0222
2012-03-01,6.7562,6.351,73.1562
2012-04-01,6.8026,6.4186,73.2902
2012-05-01,6.8489,6.4863,73.4242
2012-06-01,6.8952,6.554,73.5582
2012-07-01,6.9416,6.6216,73.6922
2012-08-01,6.9879,6.6893,73.8262
2012-09-01,7.0342,6.757,73.9602
2012-10-01,7.0805,6.8247,74.0942
2012-11-01,7.1268,6.8924,74.2282
2012-12-01,7.1732,6.96,74.3622
2013-01-01,7.2195,7.0277,74.4962
2013-02-01,7.2178,7.1004,74.5495
2013-03-01,7.2161,7.173,74.6029
2013-04-01,7.2144,7.2457,74.6562
2013-05-01,7.2128,7.3184,74.7096
2013-06-01,7.2111,7.391,74.7629
2013-07-01,7.2094,7.4637,74.8162
2013-08-01,7.2077,7.5364,74.8696
2013-09-01,7.206,7.609,74.9229
2013-10-01,7.2044,7.6817,74.9763
2013-11-01,7.2027,7.7544,75.0296
2013-12-01,7.201,7.827,75.083
2014-01-01,7.1993,7.8997,75.1363
2014-02-01,7.2048,7.958,75.1423
2014-03-01,7.2103,8.0162,75.1482
2014-04-01,7.2158,8.0744,75.1542
2014-05-01,7.2214,8.1327,75.1602
2014-06-01,7.2269,8.1909,75.1662
2014-07-01,7.2324,8.2492,75.1722
2014-08-01,7.2379,8.3074,75.1781
2014-09-01,7.2434,8.3657,75.1841
2014-10-01,7.249,8.424,75.1901
2014-11-01,7.2545,8.4822,75.196
2014-12-01,7.26,8.5404,75.202
2015-01-01,7.2655,8.5987,75.208
2015-02-01,7.2905,8.5942,75.2555
2015-03-01,7.3155,8.5897,75.303
2015-04-01,7.3405,8.5852,75.3505
2015-05-01,7.3655,8.5807,75.398
2015-06-01,7.3905,8.5762,75.4455
2015-07-01,7.4154,8.5716,75.493
2015-08-01,7.4404,8.5671,75.5405
2015-09-01,7.4654,8.5626,75.588
2015-10-01,7.4904,8.5581,75.6355
2015-11-01,7.5154,8.5536,75.683
2015-12-01,7.5404,8.5491,75.7305
2016-01-01,7.5654,8.5446,75.778
2016-02-01,7.5996,8.5631,75.7743
2016-03-01,7.6338,8.5816,75.7706
2016-04-01,7.6681,8.6001,75.767
2016-05-01,7.7023,8.6186,75.7633
2016-06-01,7.7365,8.6371,75.7596
2016-07-01,7.7708,8.6557,75.7559
2016-08-01,7.805,8.6742,75.7522
2016-09-01,7.8392,8.6927,75.7485
2016-10-01,7.8734,8.7112,75.7448
2016-11-01,7.9076,8.7297,75.7412
2016-12-01,7.9419,8.7482,75.7375
2017-01-01,7.9761,8.7667,75.7338
2017-02-01,7.9158,8.7646,75.8947
2017-03-01,7.8555,8.7625,76.0555
2017-04-01,7.7952,8.7604,76.2164
2017-05-01,7.7349,8.7582,76.3772
2017-06-01,7.6746,8.7561,76.5381
2017-07-01,7.6142,8.754,76.699
2017-08-01,7.5539,8.7519,76.8598
2017-09-01,7.4936,8.7498,77.0207
2017-10-01,7.4333,8.7476,77.1815
2017-11-01,7.373,8.7455,77.3424
2017-12-01,7.3127,8.7434,77.5032
2018-01-01,7.2524,8.7413,77.6641
2018-02-01,7.3672,8.7828,77.5327
2018-03-01,7.482,8.8242,77.4014
2018-04-01,7.5968,8.8657,77.27
2018-05-01,7.7117,8.9071,77.1387
2018-06-01,7.8265,8.9486,77.0073
2018-07-01,7.9413,8.99,76.876
2018-08-01,8.0561,9.0315,76.7446
2018-09-01,8.1709,9.073,76.6132
2018-10-01,8.2858,9.1144,76.4819
2018-11-01,8.4006,9.1559,76.3505
2018-12-01,8.5154,9.1973,76.2192
2019-01-01,8.6302,9.2388,76.0878
2019-02-01,8.6102,9.2396,76.041
2019-03-01,8.5903,9.2404,75.9942
2019-04-01,8.5703,9.2412,75.9475
2019-05-01,8.5503,9.2419,75.9007
2019-06-01,8.5304,9.2427,75.8539
2019-07-01,8.5104,9.2435,75.8072
2019-08-01,8.4904,9.2443,75.7604
2019-09-01,8.4705,9.2451,75.7136
2019-10-01,8.4505,9.2459,75.6668
2019-11-01,8.4305,9.2466,75.62
2019-12-01,8.4106,9.2474,75.5733
2020-01-01,8.3906,9.2482,75.5265
2020-02-01,8.4924,9.2564,75.4218
2020-03-01,8.5943,9.2645,75.3171
2020-04-01,8.6961,9.2727,75.2124
2020-05-01,8.798,9.2808,75.1078
2020-06-01,8.8998,9.289,75.0031
2020-07-01,9.0016,9.2972,74.8984
2020-08-01,9.1035,9.3053,74.7937
2020-09-01,9.2053,9.3135,74.689
2020-10-01,9.3072,9.3216,74.5844
2020-11-01,9.409,9.3298,74.4797
2020-12-01,9.5109,9.3379,74.375
2021-01-01,9.6127,9.3461,74.2703
2021-02-01,9.7198,9.3203,74.0878
2021-03-01,9.8268,9.2944,73.9054
2021-04-01,9.9338,9.2686,73.7229
2021-05-01,10.0409,9.2428,73.5404
2021-06-01,10.148,9.2169,73.3579
2021-07-01,10.255,9.1911,73.1755
2021-08-01,10.362,9.1653,72.993
2021-09-01,10.4691,9.1394,72.8105
2021-10-01,10.5762,9.1136,72.628
2021-11-01,10.6832,9.0878,72.4456
2021-12-01,10.7902,9.0619,72.2631
2022-01-01,10.8973,9.0361,72.0806
2022-02-01,10.7895,9.0478,72.4391
2022-03-01,10.6816,9.0596,72.7975
2022-04-01,10.5738,9.0713,73.156
2022-05-01,10.466,9.083,73.5144
2022-06-01,10.3582,9.0947,73.8729
2022-07-01,10.2504,9.1064,74.2313
2022-08-01,10.1425,9.1182,74.5898
2022-09-01,10.0347,9.1299,74.9483
2022-10-01,9.9269,9.1416,75.3067
2022-11-01,9.819,9.1534,75.6652
2022-12-01,9.7112,9.1651,76.0236
2023-01-01,9.6034,9.1768,76.3821
2023-02-01,9.6226,9.1643,76.4071
2023-03-01,9.6418,9.1518,76.4321
2023-04-01,9.661,9.1393,76.4572
2023-05-01,9.6802,9.1268,76.4822
2023-06-01,9.6994,9.1143,76.5072
2023-07-01,9.7186,9.1017,76.5322
2023-08-01,9.7378,9.0892,76.5573
2023-09-01,9.757,9.0767,76.5823
2023-10-01,9.7762,9.0642,76.6073
2023-11-01,9.7954,9.0517,76.6324
2023-12-01,9.8146,9.0392,76.6574
2024-01-01,9.8338,9.0267,76.6824
